"Column";"en";"de";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"player_level_55_description";"Reach level 55.";"Erreiche Level 55.";"Atteindre le niveau 55.";"Alcance nível 55.";"Достичь 55 уровня.";"Alcanza el Nivel 55.";"Raggiungi il livello 55.";"Opnå niveau 55.";"";"Bereik level 55.";"Osiągnij 55 poziom.";"";"Alcance o nível 55.";"55. seviyeye ulaş.";"";"Dosáhni úrovně 55";"Φτάσε στο επίπεδο 55.";"Érd el az 55. szintet!";"";"Atinge nivelul 55.";"";"Досягти 55 рівня.";"";"达到等级 55。";"達到等級 55。";"";"55 레벨 달성하기.";"";""
"player_level_60_description";"Reach level 60.";"Erreiche Level 60.";"Atteignez le niveau 60.";"Alcance nível 50.";"Достичь 60 уровня.";"Alcanza el Nivel 60.";"Raggiungi il livello 60.";"Opnå niveau 60.";"";"Bereik level 60.";"Osiągnij 60 poziom.";"";"Alcance o nível 60.";"60. seviyeye ulaş.";"";"Dosáhni úrovně 60";"Φτάσε στο επίπεδο 60.";"Érd el a 60. szintet!";"";"Atinge nivelul 60.";"";"Досягти 60 рівня.";"";"达到等级 60。";"達到等級 60。";"";"60 레벨 달성하기.";"";""
"bonus_code_description";"Redeem a bonus code.";"Le einen Bonuscode ein.";"Utiliser un code bonus.";"Redíme um códigos bônus.";"Активировать бонус-код.";"Redimir un código de bonificación.";"Riscatta un codice bonus.";"Indløs en bonuskode.";"";"Verwissel een bonus code.";"Zakup kod bonusowy.";"";"Resgatar código bônus";"Bir bonus kodu kullan.";"";"Vyzvedni bonusová kód";"Εξαργύρωσε έναν κωδικό μπόνους.";"Válts be egy bónuszkódot!";"";"Utilizați-vă codul.";"";"Активувати бонус-код.";"";"兑换一组优惠代码。";"兌換一組優惠代碼。";"";"보너스 코드 사용하기.";"";""
"buy_icon_description";"Buy an icon.";"Kaufe ein Icon.";"Acheter une icône.";"Compre um ícone.";"Купить иконку.";"Compra un ícono.";"Acquista un'icona.";"Køb et ikon.";"";"Koop een icoon.";"Kup ikonę.";"";"Compre um ícone.";"Bir simge satın al.";"";"Kup ikonu";"Αγόρασε ένα εικονίδιο.";"Vegyél egy ikont!";"";"Cumpărați o pictogramă.";"";"Купити іконку.";"";"购买一个图标。";"購買一個圖標。";"";"아이콘 구매하기.";"";""
"buy_deckslot_description";"Buy a deckslot.";"Kaufe einen Deckslot.";"Acheter un emplacement de deck.";"Compre um novo espaço para um deck.";"Купить слот для колоды.";"Compre un espacio de cartas.";"Acquista uno slot per mazzo.";"";"";"Koop een deckslot.";"Kup miejsce na talię.";"";"Comprar novo espaço para deck";"Bir deste alanı satın al.";"";"Kup místo na balíček";"Αγόρασε μια θέση τράπουλας.";"Vegyél egy paklihelyet!";"";"Cumpărați un slot pentru punte.";"";"Купити слот для колоди.";"";"购买一个套牌空位。";"購買一個套牌空位。";"";"덱 슬롯 구매하기.";"";""
"own_skin_description";"Own a skin.";"Besitze ein Skin.";"Posséder une apparence.";"Possua uma skin.";"Собственная кожа.";"Poseer una piel.";"Possiedi una skin.";"";"";"Bezit een bedekking.";"Zdobądź skórkę.";"";"Possuir uma pele.";"Bir kostüme sahip ol.";"";"Získej nový vzhled";"Έχε στην κατοχή σου μια εμφάνιση.";"Szerezz meg egy kinézetet!";"";"Deține un skin.";"";"Власний скін.";"";"拥有一组皮肤。";"擁有一組皮膚。";"";"스킨 보유하기.";"";""
"edit_deck_description";"Edit a deck.";"Bearbeite ein Deck.";"Modifier un deck.";"Edite um deck.";"Редактировать колоду.";"Edita un mazo.";"Modifica un mazzo.";"";"";"Bewerk een deck.";"Edytuj talię.";"";"Editar um baralho.";"Bir desteyi düzenle.";"";"Upravte balíček";"Επεξεργάσου μια τράπουλα.";"Szerkessz egy paklit!";"";"Editează o punte.";"";"Редагувати колоду.";"";"修改一套牌组。";"修改一套牌組。";"";"덱 수정하기.";"";""
"play_duel_description";"Play a 1vs1 duel.";"Spiele ein 1vs1-Duell.";"Jouer un duel 1vs1.";"Joga um duelo 1vs1.";"Сыграйте в дуэль 1vs1.";"Juega un duelo de 1vs1.";"Gioca un duello 1vs1.";"";"";"Speel een 1vs1 duel.";"Rozegraj pojedynek 1na1.";"";"Jogue um duelo 1x1.";"Bir 1vs1 düellosu oyna.";"";"Hrajte 1v1 duel";"Παίξε μια μονομαχία 1ε1.";"Játssz egy 1 az 1 ellen meccset!";"";"Joacă un duel 1vs1.";"";"Зіграйте в дуель 1vs1.";"";"参与一场 1 对 1 对战。";"參與一場 1 對 1 對戰。";"";"1대1 대전하기.";"";""
"play_duel2v2_description";"Play a 2vs2 duel.";"Spiele ein 2vs2-Duell.";"Jouer un duel 2vs2.";"Jogue um duelo 2vs2.";"Сыграйте в дуэль 2vs2.";"Juega un duelo de 2vs2.";"Gioca un duello 2vs2.";"";"";"Speel een 2vs2 duel.";"Rozegraj pojedynek 2na2.";"";"Jogue um duelo 2x2.";"Bir 2vs2 düellosu oyna.";"";"Hrajte 2v2 duel";"Παίξε ένα ματς 2ε2.";"Játssz egy 2 a 2 ellen meccset!";"";"Joacă un duel 2vs2.";"";"Зіграйте в дуель 2vs2.";"";"参与一场 2 对 2 对战。";"參與一場 2 對 2 對戰。";"";"2대2 대전하기.";"";""
"play_duel3v3_description";"Play a 3vs3 duel.";"Spiele ein 3vs3-Duell.";"Jouer un duel 3vs3.";"Jogue um duelo 3vs3.";"Сыграйте в дуэль 3vs3.";"Juega un duelo de 3vs3.";"Gioca un duello 3vs3.";"";"";"Speel een 3vs3 duel.";"Rozegraj pojedynek 3na3.";"";"Jogue um duelo 3x3.";"Bir 3vs3 düellosu oyna.";"";"Hrajte 3v3 duel";"Παίξε ένα ματς 3ε3.";"Játssz egy 3 a 3 ellen meccset!";"";"Joacă un duel 3vs3.";"";"Зіграйте в дуель 3vs3.";"";"参与一场 3 对 3 对战。";"參與一場 3 對 3 對戰。";"";"3대3 대전하기.";"";""
"play_duel4v4_description";"Play a 4vs4 duel.";"Spiele ein 4vs4-Duell.";"Jouer un duel 4vs4.";"Jogue um duelo 4vs4.";"Сыграйте в дуэль 4vs4.";"Juega un duelo de 4vs4.";"Gioca un duello 4vs4.";"";"";"Speel een 4vs4 duel.";"Rozegraj pojedynek 4na4.";"";"Jogue um duelo 4x4.";"Bir 4vs4 düellosu oyna.";"";"Hrajte 4v4 duel";"Παίξε ένα ματς 4ε4.";"Játssz egy 4 a 4 ellen meccset!";"";"Joacă un duel 4vs4.";"";"Зіграйте в дуель 4vs4.";"";"参与一场 4 对 4 对战。";"參與一場 4 對 4 對戰。";"";"4대4 대전하기.";"";""
"win_pvp_stone_description";"Win a quick match in stone.";"Gewinne ein Schnellsuche-Match in Stein.";"Gagnez un match rapide en pierre.";"Ganhe uma partida na dificuldade pedra.";"Выиграй быстрый матч камня.";"Gana una partida rápida en piedra.";"Vinci una partita veloce in pietra.";"";"";"Win een snel spel in steen.";"Wygraj szybki mecz w kamieniu.";"";"Vença uma partida rápida na dificuldade Pedra.";"Taşta bir hızlı oyun kazan.";"";"Vyhraj rychlou hru - kámen";"Νίκησε σε ένα λίθινο γρήγορο ματς.";"Nyerj egy gyors meccset kő szinten!";"";"Câștigă un meci rapid cu legiunea de piatră.";"";"Виграй швидкий матч каменю.";"";"赢得一场石头级的快速对战。";"贏得一場石頭級的快速對戰。";"";"스톤 티어에서 빠른 대전 승리하기.";"";""
"win_pvp_bronze_description";"Win a quick match in bronze.";"Gewinne ein Schnellsuche-Match in Bronze.";"Gagnez un match rapide en bronze.";"Ganhe uma partida na dificuldade bronze.";"Выиграй быстрый матч бронзы.";"Gana una partida rápida en bronce.";"Vinci una partita veloce in bronzo.";"";"";"Win een snel spel in brons.";"Wygraj szybki mecz w brązie.";"";"Vença uma partida rápida na dificuldade Bronze.";"Bronzda bir hızlı oyun kazan.";"";"Vyhraj rychlou hru - bronz";"Νίκησε σε ένα χάλκινο γρήγορο ματς.";"Nyerj egy gyors meccset bronz szinten!";"";"Câștigă un meci rapid cu legiunea de bronz.";"";"Виграй швидкий матч бронзи.";"";"赢得一场青铜级的快速对战。";"贏得一場青銅級的快速對戰。";"";"브론즈 티어에서 빠른 대전 승리하기.";"";""
"win_pvp_silver_description";"Win a quick match in silver.";"Gewinne ein Schnellsuche-Match in Silber.";"Gagnez un match rapide en argent.";"Ganhe uma partida na dificuldade prata.";"Выиграй быстрый матч серебра.";"Gana una partida rápida en plata.";"Vinci una partita veloce in argento.";"";"";"Win een snel spel in zilver.";"Wygraj szybki mecz w srebrze.";"";"Vença uma partida rápida na dificuldade Prata.";"Gümüşte bir hızlı oyun kazan.";"";"Vyhraj rychlou hru - stříbro";"Νίκησε σε ένα ασημένιο γρήγορο ματς.";"Nyerj egy gyors meccset ezüst szinten!";"";"Câștigă un meci rapid cu legiunea de argint.";"";"Виграй швидкий матч срібла.";"";"赢得一场白银级的快速对战。";"贏得一場白銀級的快速對戰。";"";"실버 티어에서 빠른 대전 승리하기.";"";""
"win_pvp_gold_description";"Win a quick match in gold.";"Gewinne ein Schnellsuche-Match in Gold.";"Gagnez un match rapide en or.";"Ganhe uma partida na dificuldade ouro.";"Выиграй быстрый матч золота.";"Gana una partida rápida en oro.";"Vinci una partita veloce in oro.";"";"";"Win een snel spel in goud.";"Wygraj szybki mecz w złocie.";"";"Vença uma partida rápida na dificuldade Ouro.";"Altında bir hızlı oyun kazan.";"";"Vyhraj rychlou hru - zlato";"Νίκησε σε ένα χρυσό γρήγορο ματς.";"Nyerj egy gyors meccset arany szinten!";"";"Câștigă un meci rapid cu legiunea de aur.";"";"Виграй швидкий матч золота.";"";"赢得一场黄金级的快速对战。";"贏得一場黃金級的快速對戰。";"";"골드 티어에서 빠른 대전 승리하기.";"";""
"win_pve_attack_solo_stone_description";"Win a golem challenge in stone.";"Gewinne ein Match alleine gegen die Golems in Stein.";"Gagnez un défi de golem en pierre.";"Ganhe um desafio de golem na dificuldade pedra.";"Выиграйте вызов против Голема камня.";"Gana un desafío de golem en piedra.";"Vinci una Sfida dei Golem in pietra.";"";"";"Win een golem uitdaging in steen.";"Wygraj wyzwanie golema w kamieniu.";"";"Vença um desafio de golem na dificuldade Pedra.";"Taşta bir golem mücadelesini kazan.";"";"Vyhrajte výzvu golemů - kámen";"Νίκησε σε μια λίθινη πρόκληση γκόλεμ.";"Nyerj meg egy gólem kihívást kő szinten!";"";"Câștigă o provocare golem în piatră.";"";"Виграйте виклик проти Голема каменю.";"";"赢得一场石头级的巨石像挑战。";"贏得一場石頭級的巨石像挑戰。";"";"스톤 티어에서 골렘 도전 승리하기.";"";""
"win_pve_attack_solo_bronze_description";"Win a golem challenge in bronze.";"Gewinne ein Match alleine gegen die Golems in Bronze.";"Gagner un défi golem de bronze.";"Ganhe um desafio de golem na dificuldade bronze.";"Выиграйте вызов против Голема бронзы.";"Gana un desafío de golem en bronce.";"Vinci una Sfida dei Golem in bronzo.";"";"";"Win een golem uitdaging in brons.";"Wygraj wyzwanie golema w brązie.";"";"Vença um desafio de golem na dificuldade Bronze.";"Bronzda bir golem mücadelesini kazan.";"";"Vyhrajte výzvu golemů - bronz";"Νίκησε σε μια χάλκινη πρόκληση γκόλεμ.";"Nyerj meg egy gólem kihívást bronz szinten!";"";"Câștigă o provocare golem în bronz.";"";"Виграйте виклик проти Голема бронзи.";"";"赢得一场青铜级的巨石像挑战。";"贏得一場青銅級的巨石像挑戰。";"";"브론즈 티어에서 골렘 도전 승리하기.";"";""
"win_pve_attack_solo_silver_description";"Win a golem challenge in silver.";"Gewinne ein Match alleine gegen die Golems in Silber.";"Gagner un défi golem d'argent.";"Ganhe um desafio de golem na dificuldade silver.";"Выиграйте вызов против Голема серебра.";"Gana un desafío de golem en plata.";"Vinci una Sfida dei Golem in argento.";"";"";"Win een golem uitdaging in zilver.";"Wygraj wyzwanie golema w srebrze.";"";"Vença um desafio de golem na dificuldade Prata.";"Gümüşte bir golem mücadelesini kazan.";"";"Vyhrajte výzvu golemů - stříbro";"Νίκησε σε μια ασημένια πρόκληση γκόλεμ.";"Nyerj meg egy gólem kihívást ezüst szinten!";"";"Câștigă o provocare golem în argint.";"";"Виграйте виклик проти Голема срібла.";"";"赢得一场白银级的巨石像挑战。";"贏得一場白銀級的巨石像挑戰。";"";"실버 티어에서 골렘 도전 승리하기.";"";""
"win_pve_attack_solo_gold_description";"Win a golem challenge in gold.";"Gewinne ein Match alleine gegen die Golems in Gold.";"Gagner un défi golem d'or.";"Ganhe um desafio de golem na dificuldade ouro.";"Выиграйте вызов против Голема золота.";"Gana un desafío de golem en oro.";"Vinci una Sfida dei Golem in oro.";"";"";"Win een golem uitdaging in goud.";"Wygraj wyzwanie golema w złocie.";"";"Vença um desafio de golem na dificuldade Ouro.";"Altında bir golem mücadelesini kazan.";"";"Vyhrajte výzvu golemů - zlato";"Νίκησε σε μια χρυσή πρόκληση γκόλεμ.";"Nyerj meg egy gólem kihívást arany szinten!";"";"Câștigă o provocare golem în aur.";"";"Виграйте виклик проти Голема золота.";"";"赢得一场黄金级的巨石像挑战。";"贏得一場黃金級的巨石像挑戰。";"";"골드 티어에서 골렘 도전 승리하기.";"";""
"win_pve_attack_solo_crystal_description";"Win a golem challenge in crystal.";"Gewinne ein Match alleine gegen die Golems in Kristall.";"Gagner un défi golem de cristal.";"Ganhe um desafio de golem na dificuldade cristal.";"Выиграйте вызов против кристального Голема.";"Gana un desafío de Golem en cristal.";"Vinci una Sfida dei Golem in cristallo.";"";"";"";"Wygraj wyzwanie golema w krysztale.";"";"Ganhe um desafio de golem no estágio Cristal.";"Kristalde bir golem mücadelesini kazan.";"";"Vyhrajte výzvu golemů - krystal.";"Νίκησε σε μια κρυστάλλινη πρόκληση γκόλεμ.";"Nyerj meg egy gólem kihívást kristály szinten.";"";"Câștigă o provocare golem în cristal.";"";"Виграйте виклик проти кристального Голема.";"";"赢得一场水晶级的巨石像挑战。";"贏得一場水晶級的巨石像挑戰。";"";"수정 티어에서 골렘 도전 승리하기.";"";""
"win_pve_attack_stone_description";"Win a co-op challenge in stone.";"Gewinne ein Match kooperativ gegen die Golems in Stein.";"Gagner un challenge multijoueur de pierre.";"Ganhe um desafio co-op na dificuldade pedra.";"Выиграйте кооперативный вызов камня.";"Ganar un desafío cooperativo en piedra.";"Vinci una sfida co-op in pietra.";"";"";"";"Wygraj wyzwanie kooperacyjne w kamieniu.";"";"Vencer um desafio cooperativo no estágio Pedra.";"Taşta bir co-op mücadelesini kazan.";"";"Vyhrajte co-op výzvu - kámen";"Νίκησε σε μια λίθινη συνεργατική πρόκληση.";"Nyerj meg egy co-op kihívást kő szinten.";"";"Câștigă o provocare de cooperare în piatră.";"";"Виграйте кооперативний виклик каменю.";"";"赢得一场石头级的共同挑战。";"贏得一場石頭級的共同挑戰。";"";"스톤 티어에서 협동 도전 승리하기.";"";""
"win_pve_attack_bronze_description";"Win a co-op challenge in bronze.";"Gewinne ein Match kooperativ gegen die Golems in Bronze.";"Gagner un challenge multijoueur de bronze.";"Ganhe um desafio co-op na dificuldade bronze.";"Выиграйте кооперативный вызов бронзы.";"Ganar un desafío cooperativo en bronce.";"Vinci una sfida co-op in bronzo.";"";"";"";"Wygraj wyzwanie kooperacyjne w brązie.";"";"Vencer um desafio cooperativo no estágio Bronze.";"Bronzda bir co-op mücadelesini kazan.";"";"Vyhrajte co-op výzvu - bronz";"Νίκησε σε μια χάλκινη συνεργατική πρόκληση.";"Nyerj meg egy co-op kihívást bronz szinten.";"";"Câștigă o provocare de cooperare în bronz.";"";"Виграйте кооперативний виклик бронзи.";"";"赢得一场青铜级的共同挑战。";"贏得一場青銅級的共同挑戰。";"";"브론즈 티어에서 협동 도전 승리하기.";"";""
"win_pve_attack_silver_description";"Win a co-op challenge in silver.";"Gewinne ein Match kooperativ gegen die Golems in Silber.";"Gagner un challenge multijoueur d'argent.";"Ganhe um desafio co-op na dificuldade prata.";"Выиграйте кооперативный вызов серебра.";"Gana un desafío de golem en plata.";"Vinci una sfida co-op in argento.";"";"";"";"Wygraj wyzwanie kooperacyjne w srebrze.";"";"Vencer um desafio cooperativo no estágio Prata.";"Gümüşte bir co-op mücadelesini kazan.";"";"Vyhrajte co-op výzvu - stříbro";"Νίκησε σε μια ασημένια συνεργατική πρόκληση.";"Nyerj meg egy co-op kihívást ezüst szinten.";"";"Câștigă o provocare de cooperare în argint.";"";"Виграйте кооперативний виклик срібла.";"";"赢得一场白银级的共同挑战。";"贏得一場白銀級的共同挑戰。";"";"실버 티어에서 협동 도전 승리하기.";"";""
"win_pve_attack_gold_description";"Win a co-op challenge in gold.";"Gewinne ein Match kooperativ gegen die Golems in Gold.";"Gagner un challenge multijoueur d'or.";"Ganhe um desafio co-op na dificuldade ouro.";"Выиграйте кооперативный вызов золота.";"Gana un desafío de golem en oro.";"Vinci una sfida co-op in oro.";"";"";"";"Wygraj wyzwanie kooperacyjne w złocie.";"";"Vencer um desafio cooperativo no estágio Ouro.";"Altında bir co-op mücadelesini kazan.";"";"Vyhrajte co-op výzvu - zlato";"Νίκησε σε μια χρυσή συνεργατική πρόκληση.";"Nyerj meg egy co-op kihívást arany szinten.";"";"Câștigă o provocare de cooperare în aur.";"";"Виграйте кооперативний виклик золота.";"";"赢得一场黄金级的共同挑战。";"贏得一場黃金級的共同挑戰。";"";"골드 티어에서 협동 도전 승리하기.";"";""
"win_pve_attack_crystal_description";"Win a co-op challenge in crystal.";"Gewinne ein Match kooperativ gegen die Golems in Kristall.";"Gagner un challenge multijoueur de cristal.";"Ganhe um desafio co-op na dificuldade cristal.";"Выиграйте кооперативный вызов кристала.";"Gana un desafío de Golem en cristal.";"Vinci una sfida co-op in cristallo.";"";"";"";"Wygraj wyzwanie kooperacyjne w krysztale.";"";"Vencer um desafio cooperativo no estágio Cristal.";"Kristalde bir co-op mücadelesini kazan.";"";"Vyhrajte co-op výzvu - krystal";"Νίκησε σε μια κρυστάλλινη συνεργατική πρόκληση.";"Nyerj meg egy co-op kihívást kristály szinten.";"";"Câștigă o provocare de cooperare în cristal.";"";"Виграйте кооперативний виклик кристала.";"";"赢得一场水晶级的共同挑战。";"贏得一場水晶級的共同挑戰。";"";"수정 티어에서 협동 도전 승리하기.";"";""
"play_tutorial_description";"Finish the tutorial.";"Schlieﾟe das Tutorial ab.";"Finir le tutoriel.";"Conclua o tutorial.";"Закончить обучение.";"Terminar el tutorial.";"Completa il tutorial.";"Gennemfør vejledningen.";"";"";"Ukończ samouczek.";"";"Termine o tutorial.";"Eğiticiyi bitir.";"";"Dokončete výuku.";"Ολοκλήρωσε το μάθημα.";"Fejezd meg a bevezetőt!";"";"Finalizează tutorialul.";"";"Закінчити навчання.";"";"通关教学课程。";"通關教學課程。";"";"튜토리얼 완료하기.";"";""
"cast_summoning_100_description";"Play 100 summonings.";"Spiele 100 Beschwungen.";"Jouer 100 invocations.";"Jogue 100 invocações.";"Сыграйте 100 призывов.";"Juega 100 invocaciones.";"Gioca 100 evocazioni.";"";"";"";"Zagraj 100 przywołań.";"";"Jogue 100 invocações.";"100 oluşturma kartı oyna.";"";"Hrajte 100 vyvolání";"Πραγματοποίησε 100 επιστρατεύσεις.";"";"";"Joacă 100 de convocări.";"";"Зіграйте 100 викликів.";"";"召唤 100 次。";"召喚 100 次。";"";"게임에서 소환 카드를 100번 사용하기.";"";""
"cast_summoning_1000_description";"Play 1,000 summonings.";"Spiele 1.000 Beschwungen.";"Jouer 1000 invocations.";"Jogue 1,000 invocações.";"Сыграйте 1000 призывов.";"Juega 1.000 invocaciones.";"Gioca 1000 evocazioni.";"";"";"";"Zagraj 1 000 przywołań.";"";"Jogue 1.000 invocações.";"1,000 oluşturma kartı oyna.";"";"Hrajte 1'000 vyvolání";"Πραγματοποίησε 1.000 επιστρατεύσεις.";"";"";"Joacă 1,000 de convocări.";"";"Зіграйте 1000 викликів.";"";"召唤 1,000 次。";"召喚 1000 次。";"";"게임에서 소환 카드를 1,000번 사용하기.";"";""
"cast_summoning_10000_description";"Play 10,000 summonings.";"Spiele 10.000 Beschwungen.";"Jouer 10000 invocations.";"Jogue 10,000 invocações.";"Сыграйте 10000 призывов.";"Juega 10.000 invocaciones.";"Gioca 10000 evocazioni.";"";"";"";"Zagraj 10 000 przywołań.";"";"Jogue 10.000 invocações.";"10,000 oluşturma kartı oyna.";"";"Hrajte 10'000 vyvolání";"Πραγματοποίησε 10.000 επιστρατεύσεις.";"";"";"Joacă 10,000 de convocări.";"";"Зіграйте 10000 викликів.";"";"召唤 10,000 次。";"召喚 10,000 次。";"";"게임에서 소환 카드를 10,000번 사용하기.";"";""
"cast_spell_30_description";"Play 30 spells.";"Spiele 30 Zauber.";"Jouer 30 sorts.";"Jogue 30 feitiços.";"Сыграйте 30 заклинаний.";"Juega 30 hechizos.";"Gioca 30 magie.";"";"";"";"Zagraj 30 zaklęć.";"";"Jogue 30 feitiços.";"30 büyü kartı oyna.";"";"Hraj 30 kouzel";"Ρίξε 30 ξόρκια.";"Játsz ki 30 varázslatot.";"";"Joacă 30 de vrăji.";"";"Зіграйте 30 заклинань.";"";"施展 30 次法术。";"施展 30 次法術。";"";"게임에서 주문 카드를 30번 사용하기.";"ใช้เวทมนตร์ 30 รอบ";""
"cast_spell_300_description";"Play 300 spells.";"Spiele 300 Zauber.";"Jouer 300 sorts.";"Jogue 300 feitiços.";"Сыграйте 300 заклинаний.";"Juega 300 hechizos.";"Gioca 300 magie.";"";"";"";"Zagraj 300 zaklęć.";"";"Jogue 300 feitiços.";"300 büyü kartı oyna.";"";"Hraj 300 kouzel";"Ρίξε 300 ξόρκια.";"Játsz ki 300 varázslatot.";"";"Joacă 300 de vrăji.";"";"Зіграйте 300 заклинань.";"";"施展 300 次法术。";"施展 300 次法術。";"";"게임에서 주문 카드를 300번 사용하기.";"ใช้เวทมนตร์ 300 รอบ";""
"cast_spell_3000_description";"Play 3,000 spells.";"Spiele 3.000 Zauber.";"Jouer 3000 sorts.";"Jogue 3,000 feitiços.";"Сыграйте 3000 заклинаний.";"Juega 3.000 hechizos.";"Gioca 3000 magie.";"";"";"";"Zagraj 3 000 zaklęć.";"";"Jogue 3.000 feitiços.";"3000 büyü kartı oyna.";"";"Hraj 3'000 kouzel";"Ρίξε 3.000 ξόρκια.";"Játsz ki 3,000 varázslatot.";"";"Joacă 3,000 de vrăji.";"";"Зіграйте 3000 заклинань.";"";"施展 3,000 次法术。";"施展 3,000 次法術。";"";"게임에서 주문 카드를 3,000번 사용하기.";"ใช้เวทมนตร์ 3,000 รอบ";""
"cast_building_10_description";"Play 10 buildings.";"Spiele 10 Geb舫de.";"Jouer 10 bâtiments.";"Jogue 10 edifícios.";"Сыграйте 10 зданий.";"Juega 10 edificios.";"Gioca 10 strutture.";"";"";"";"Zagraj 10 budynków.";"";"Jogue 10 edifícios.";"10 bina kartı oyna.";"";"Hrajte 10 budov";"Χτίσε 10 κτίρια.";"Játsz ki 10 épületet.";"";"Joacă 10 clădiri.";"";"Зіграйте 10 будівель.";"";"建设了 10 栋建筑物。";"建設了 10 棟建築物。";"";"게임에서 건물 카드를 10번 사용하기.";"ใช้งานสิ่งก่อสร้าง 10 รอบ";""
"cast_building_100_description";"Play 100 buildings.";"Spiele 100 Geb舫de.";"Jouer 100 bâtiments.";"Jogue 100 edifícios.";"Сыграйте 100 зданий.";"Juega 100 edificios.";"Gioca 100 strutture.";"";"";"";"Zagraj 100 budynków.";"";"Jogue 100 edifícios.";"100 bina kartı oyna.";"";"Hrajte 100 budov";"Χτίσε 100 κτίρια.";"Játsz ki 100 épületet.";"";"Joacă 100 de clădiri.";"";"Зіграйте 100 будівель.";"";"建设了 100 栋建筑物。";"建設了 100 棟建築物。";"";"게임에서 건물 카드를 100번 사용하기.";"ใช้งานสิ่งก่อสร้าง 100 รอบ";""
"cast_building_1000_description";"Play 1,000 buildings.";"Spiele 1.000 Geb舫de.";"Jouer 1000 bâtiments.";"Jogue 1,000 edifícios.";"Сыграйте 1000 зданий.";"Juega 1.000 edificios.";"Gioca 1000 strutture.";"";"";"";"Zagraj 1 000 budynków.";"";"Jogue 1.000 edifícios.";"1000 bina kartı oyna.";"";"Hrajte 1'000 budov";"Χτίσε 1.000 κτίρια.";"Játsz ki 1000 épületet.";"";"Joacă 1,000 de clădiri.";"";"Зіграйте 1000 будівель.";"";"建设了 1,000 栋建筑物。";"建設了 1,000 棟建築物。";"";"게임에서 건물 카드를 1,000번 사용하기.";"ใช้งานสิ่งก่อสร้าง 1,000 รอบ";""
"cast_spawner_30_description";"Play 30 spawner.";"Spiele 30 Spawner.";"Jouer 30 invocateurs.";"Jogue 30 geradores.";"Сыграйте 30 спавнеров.";"Juega 30 generadores.";"Posiziona 30 spawn.";"";"";"";"Zagraj 30 przywoływaczy.";"";"Jogue 30 geradores.";"30 doğma kartı oyna.";"";"Polož 30 Spawnerů";"Χτίσε 30 γεννήτορες.";"";"";"Joacă 30 de reproducători.";"";"Зіграйте 30 спавнерів.";"";"使用了 30 个生成单位。";"使用了 30 個生成單位。";"";"게임에서 생성기 카드를 30번 사용하기.";"";""
"cast_spawner_300_description";"Play 300 spawner.";"Spiele 300 Spawner.";"Jouer 300 invocateurs.";"Jogue 300 geradores.";"Сыграйте 300 спавнеров.";"Juega 300 generadores.";"Posiziona 300 spawn.";"";"";"";"Zagraj 300 przywoływaczy.";"";"Jogue 300 geradores.";"300 doğma kartı oyna.";"";"Polož 300 Spawnerů";"Χτίσε 300 γεννήτορες.";"";"";"Joacă 300 de reproducători.";"";"Зіграйте 300 спавнерів.";"";"使用了 300 个生成单位。";"使用了 300 個生成單位。";"";"게임에서 생성기 카드를 300번 사용하기.";"";""
"cast_spawner_3000_description";"Play 3,000 spawner.";"Spiele 3.000 Spawner.";"Jouer 3000 invocateurs.";"Jogue 3,000 geradores.";"Сыграйте 3000 спавнеров.";"Juega 3,000 generadores.";"Posiziona 3000 spawn.";"";"";"";"Zagraj 3 000 przywoływaczy.";"";"Jogue 3000 geradores.";"3,000 doğma kartı oyna.";"";"Polož 3'000 Spawnerů";"Χτίσε 3.000 γεννήτορες.";"";"";"Joacă 3,000 de reproducători.";"";"Зіграйте 3000 спавнерів.";"";"使用了 3,000 个生成单位。";"使用了 3,000 個生成單位。";"";"게임에서 생성기 카드를 3,000번 사용하기.";"";""
"cast_black_card_50_description";"Play 50 cards of the black legion.";"Spiele 50 Karten der schwarzen Legion.";"Jouer 50 cartes de la légion noire.";"Jogue 50 cartas da legião negra.";"Разыграйте 50 карт Черного легиона.";"Juega 50 cartas de la legión negra.";"Gioca 50 carte della legione nera.";"";"";"";"Zagraj 50 kart czarnego legionu.";"";"Jogue 50 cartas da legião negra.";"Siyah lejyonun 50 kartını oyna.";"";"Zahrej kartu černé legie 50×";"Παίξε 50 κάρτες τής μαύρης λεγεώνας.";"Játsz ki 50 lapot a fekete légióból.";"";"Joacă 50 de cărți ale legiunii negre.";"";"Розіграйте 50 карт Чорного легіону.";"";"玩过 50 张黑色军团的卡牌。";"玩過 50 張黑色軍團的卡牌。";"";"게임에서 흑색 군단의 카드를 50번 사용하기.";"";""
